team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,manager
3HeadedATK,9,Minnesota,DEF,Min,DEF,7,Christopher
Obi 'Quon Kenobi,9,Mohamed Sanu,WR,NE,W/R/T,24.1,roy s
Game of Jones,9,N'Keal Harry,WR,NE,BN,0,Andre
3HeadedATK,9,Nelson Agholor,WR,LV,BN,5.1,Christopher
Obi 'Quon Kenobi,9,New England,DEF,NE,DEF,4,roy s
Obi 'Quon Kenobi,9,New Orleans,DEF,NO,BN,0,roy s
Da Don Da Da's,9,Nick Chubb,RB,Cle,RB,13.1,Khari
Run it Back,9,O.J. Howard,TE,TB,BN,0,Jean
Post Mahomes,9,Odell Beckham Jr.,WR,Cle,BN,13.2,JL
Game of Jones,9,Patrick Mahomes,QB,KC,BN,0,Andre
Big Bucs No Whammies,9,Philadelphia,DEF,Phi,DEF,6,Travis
Da Don Da Da's,9,Philip Rivers,QB,Ind,QB,11.76,Khari
Da Don Da Da's,9,Phillip Lindsay,RB,Den,BN,15.2,Khari
Run it Back,9,Pittsburgh,DEF,Pit,DEF,19,Jean
Big Bucs No Whammies,9,Randall Cobb,WR,Hou,BN,7.5,Travis
Eli Man Penguin Boy,9,Robbie Gould,K,SF,K,4,Andy
Da Don Da Da's,9,Robby Anderson,WR,Car,W/R/T,5.3,Khari
Run it Back,9,Robert Woods,WR,LAR,BN,0,Jean
Big Bucs No Whammies,9,Ronald Jones II,RB,TB,BN,16.2,Travis
Eli Man Penguin Boy,9,Royce Freeman,RB,Den,BN,2.4,Andy
Big Bucs No Whammies,9,Russell Wilson,QB,Sea,QB,44.22,Travis
Post Mahomes,9,Ryquell Armstead,RB,Jax,BN,11.5,JL
Da Don Da Da's,9,San Francisco,DEF,SF,DEF,3,Khari
Birds Like I'm Julio,9,Saquon Barkley,RB,NYG,RB,15.5,Jake
Game of Jones,9,Sony Michel,RB,NE,RB,4,Andre
